Table Name,Total Queries Generated,Time Taken (seconds)
yago2,898944,2535.581797838211
craftwaysorted,21824,95.89828586578369
zcta5,6628,30.498208045959473
areawater,458553,1509.8430285453796
aerowaythingnodesorted,15845,74.96990656852722
emergencythingwaysorted,161516,620.7848284244537
historicthingwaysorted,358440,1258.3206379413605
aerowaythingwaysorted,368367,1289.512773990631
cyclewaythingwaysorted,1067064,2913.851095676422
powerthingwaysorted,2717290,5934.97185754776
leisurewaysorted,5000000,9767.428042173386
barrierthingwaysorted,4581672,9162.538222551346
powerthingnodesorted,2102516,4855.655356168747
arealm,25835,100.34067487716675
