Table Name,Total Queries Generated,Time Taken (seconds)
craftwaysorted,21824,13.74765658378601
aerowaythingnodesorted,15845,8.85321593284607
emergencythingwaysorted,161516,425.467435836792
historicthingwaysorted,358440,1910.9197926521301
aerowaythingwaysorted,368367,2009.5893335342407
cyclewaythingwaysorted,1067064,13789.228031158447
powerthingwaysorted,2717290,75096.51994013786
leisurewaysorted,5000000,279650.93824124336
barrierthingwaysorted,4581672,180791.08653497696
powerthingnodesorted,2102516,46222.13611268997
yago2,898944,5646.639789819717
zcta5,6628,21.298591136932373
areawater,458553,1810.3276958465576
arealm,25835,22.196557998657227
