Table Name,Total Spatial Objects,Universe Limits (Bounding Box),Spatial Object Types
yago2,4494722,"BOX(-179.98473 -90,180 90)","ST_Point, ST_MultiPoint"
craftwaysorted,109121,"BOX(-175.2000514 -65.2458821,175.3397782 69.6673353)","ST_Point, ST_LineString"
zcta5,33144,"BOX(-176.684744 -14.373776,145.830505 71.341324)","ST_Polygon, ST_MultiPolygon"
areawater,2292766,"BOX(-179.231086 -14.601813,179.859681 71.441059)","ST_Polygon, ST_MultiPolygon"
aerowaythingnodesorted,79229,"BOX(-179.88088960000002 -90,179.951004 83.08333590000001)",ST_Point
emergencythingwaysorted,807582,"BOX(-175.221337 -53.7941359,179.3313189 78.22019230000001)","ST_Point, ST_LineString"
historicthingwaysorted,1792201,"BOX(-179.99526020000002 -85.0036942,179.99597930000002 78.06750650000001)","ST_LineString, ST_Point"
aerowaythingwaysorted,1841835,"BOX(-179.88131460000002 -79.7773063,179.426138 85.05258450000001)","ST_LineString, ST_Point"
cyclewaythingwaysorted,5335324,"BOX(-175.2093065 -75.1027861,176.92582230000002 71.0488105)","ST_LineString, ST_Point"
powerthingwaysorted,13586454,"BOX(-179.5002188 -75.1012051,178.4574038 82.5247908)","ST_LineString, ST_Point"
leisurewaysorted,29382860,"BOX(-179.8728244 -89.6957847,179.8091866 81.0280175)","ST_LineString, ST_Point"
barrierthingwaysorted,22908363,"BOX(-179.7595238 -70.776382,179.19591350000002 78.2501675)","ST_LineString, ST_Point"
powerthingnodesorted,10512581,"BOX(-177.92741900000001 -77.8453164,178.47197400000002 78.2256315)",ST_Point
arealm,129179,"BOX(-179.147236 -14.548699,179.77847 71.359879)","ST_Polygon, ST_MultiPolygon"
